iso,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
POL,20,31350864,10812802,11042455,91631,19164,31219,33458,42079,82797,37841,57548,48178,47154,72159,56938,55244,35358,56918,43197,87481,97319,97798
POL,25,31350864,10681751,10875448,86836,19148,31201,33428,42056,82760,37824,57531,48155,47134,72117,56896,55158,35261,56760,43093,87230,97065,97576
POL,30,31350864,10491313,10687199,82900,19134,31182,33403,42028,82719,37811,57505,48132,47114,72091,56860,55085,35120,56468,42902,86823,96596,97169
POL,50,31350864,9574954,9197968,54421,18499,30020,32103,40252,80225,36517,55957,46798,45878,70450,55766,53855,33704,53897,41097,83076,92262,92736
POL,75,31350864,6499081,4748082,32663,15990,25342,26594,33206,67019,30416,47428,39540,39475,61572,49182,46396,22595,36164,27839,57886,63759,60586
PRI,10,904785,565397,566471,872,1284,1204,1235,1370,1325,1280,1071,1244,973,611,1261,678,749,955,770,655,57070,1275
PRI,15,904785,551138,559446,811,1277,1196,1224,1353,1314,1272,1057,1238,968,609,1255,670,735,925,749,639,56962,1265
PRI,20,904785,542409,556921,761,1273,1184,1216,1345,1309,1269,1053,1236,964,606,1251,663,729,904,742,626,56878,1255
PRI,25,904785,535648,553767,734,1267,1179,1212,1340,1301,1262,1051,1230,959,604,1245,662,715,890,734,614,56825,1249
PRI,30,904785,527580,544758,693,1260,1174,1206,1333,1293,1255,1043,1222,957,601,1241,659,705,872,726,604,56774,1242
PRI,50,904785,495609,491866,481,1186,1095,1143,1261,1224,1182,987,1169,921,577,1173,638,658,795,670,555,56460,1205
PRI,75,904785,441401,410281,241,983,887,963,1056,1016,1001,824,1009,799,513,1008,573,566,641,563,454,55362,1102
PRK,10,12313798,5885899,5878024,2155,12189,5575,7589,11881,17319,13240,13858,19473,13531,19629,5619,17347,5225,11510,11638,11847,8883,7934
PRK,15,12313798,5622476,5513330,1570,12127,5503,7524,11711,17080,13057,13707,19294,13422,19449,5560,17129,5162,11327,11420,11739,8793,7860
PRK,20,12313798,5515574,5410288,1429,12069,5458,7477,11594,16922,12838,13579,19153,13347,19342,5526,17020,5133,11261,11329,11700,8744,7839
PRK,25,12313798,5388352,5204488,1176,11998,5399,7402,11442,16679,12669,13390,18935,13214,19167,5481,16847,5094,11160,11189,11634,8667,7773
PRK,30,12313798,5209781,5009558,995,11974,5368,7352,11381,16547,12618,13315,18826,13134,19051,5439,16710,5038,10959,10896,11533,8543,7707
PRK,50,12313798,4104270,3369508,347,10522,4402,6095,9332,13052,10622,10912,15641,11026,15941,4666,13887,4369,8967,7373,9959,7284,6607
PRK,75,12313798,918935,691378,63,3639,1414,2087,2923,3830,4277,3712,4650,3576,4895,2096,4392,1123,1989,1062,2407,2023,1530
PRT,10,9002184,3023355,2725462,141374,26152,37034,28458,59206,41226,45116,38500,35817,42098,50738,28092,62879,60233,69947,54347,111675,211615,114508
PRT,15,9002184,2771319,2469081,134769,25298,36013,27638,57170,40127,43779,37363,34638,40970,49613,27556,61583,58188,67405,52011,106802,199855,109472
PRT,20,9002184,2615859,2432493,131791,24915,35545,27317,56417,39603,43264,36915,34175,40502,49138,27239,60475,55887,64927,50003,102760,191023,105665
PRT,25,9002184,2476538,2310835,129264,24802,35390,27193,56182,39427,43108,36729,34019,40325,48962,27040,59631,54177,63009,48344,99509,184533,102272
PRT,30,9002184,2315092,2183044,126986,24500,35021,26935,55551,39069,42744,36457,33762,40025,48659,26799,58505,52123,60531,46297,95086,174746,97884
